naverPlaceId,name,category,address,lat,lng,reviewCount,votedTotal,voterCount,tagCount,tags(tag:count;...)
2031951701,피지피지,이탈리아음식,와우산로17길 19-18 1층,37.5495591,126.9213205,534,,,36,음식이 맛있어요:436;인테리어가 멋져요:355;매장이 넓어요:323;재료가 신선해요:248;친절해요:147;특별한 메뉴가 있어요:120;매장이 청결해요:77;양이 많아요:67;단체모임 하기 좋아요:63;뷰가 좋아요:38;가성비가 좋아요:32;야외공간이 멋져요:27;사진이 잘 나와요:24;컨셉이 독특해요:19;메뉴 구성이 알차요:13;특별한 날 가기 좋아요:12;화장실이 깨끗해요:11;음식이 빨리 나와요:9;대화하기 좋아요:9;건강한 맛이에요:5;아늑해요:4;혼밥하기 좋아요:4;현지 맛에 가까워요:4;음악이 좋아요:4;디저트가 맛있어요:3;좌석이 편해요:2;직접 잘 구워줘요:2;환기가 잘 돼요:2;차분한 분위기예요:1;음료가 맛있어요:1;고기 질이 좋아요:1;주차하기 편해요:1;반려동물과 가기 좋아요:1;비싼 만큼 가치있어요:1;반찬이 잘 나와요:1;오래 머무르기 좋아요:1
2004817631,아임도넛 홍대점,도넛,와우산로21길 14 1층,37.5524875,126.9231522,9,,,14,디저트가 맛있어요:9;특별한 메뉴가 있어요:6;인테리어가 멋져요:5;친절해요:5;매장이 청결해요:4;종류가 다양해요:3;가성비가 좋아요:2;빵이 맛있어요:1;컨셉이 독특해요:1;아늑해요:1;음식이 맛있어요:1;메뉴 구성이 알차요:1;사진이 잘 나와요:1;뷰가 좋아요:1
2069910314,도깨비집 홍대,요리주점,"와우산로 71 1층, 2층",37.5508499,126.9228799,1205,,,35,음식이 맛있어요:982;기본 안주가 좋아요:541;음악이 좋아요:376;술이 다양해요:297;가성비가 좋아요:289;인테리어가 멋져요:281;대화하기 좋아요:204;특별한 메뉴가 있어요:201;친절해요:195;단체모임 하기 좋아요:132;매장이 청결해요:112;매장이 넓어요:77;양이 많아요:68;메뉴 구성이 알차요:61;화장실이 깨끗해요:43;재료가 신선해요:16;오래 머무르기 좋아요:16;음식이 빨리 나와요:9;음료가 맛있어요:7;파티하기 좋아요:5;혼술하기 좋아요:4;컨셉이 독특해요:3;차분한 분위기예요:2;좌석이 편해요:2;코스요리가 알차요:2;아늑해요:2;디저트가 맛있어요:2;야외공간이 멋져요:2;주차하기 편해요:2;사진이 잘 나와요:2;혼밥하기 좋아요:1;룸이 잘 되어있어요:1;특별한 날 가기 좋아요:1;집중하기 좋아요:1;뷰가 좋아요:1
2051676381,국보감 홍대본점,"음식점, 한식",서울특별시 마포구 와우산로21길 21 1층,37.552314,126.9226474,277,,,32,음식이 맛있어요:431;재료가 신선해요:218;양이 많아요:195;친절해요:135;매장이 넓어요:125;가성비가 좋아요:103;매장이 청결해요:85;혼밥하기 좋아요:83;인테리어가 멋져요:72;특별한 메뉴가 있어요:50;단체모임 하기 좋아요:47;고기 질이 좋아요:20;메뉴 구성이 알차요:17;대화하기 좋아요:13;잡내가 적어요:12;반찬이 잘 나와요:11;음식이 빨리 나와요:9;건강한 맛이에요:9;혼술하기 좋아요:5;현지 맛에 가까워요:5;아늑해요:4;좌석이 편해요:3;기본 안주가 좋아요:3;화장실이 깨끗해요:3;차분한 분위기예요:2;음료가 맛있어요:2;술이 다양해요:1;음악이 좋아요:1;야외공간이 멋져요:1;사진이 잘 나와요:1;직접 잘 구워줘요:1;집중하기 좋아요:1
56228015,우와 홍대본점,"일식, 일식당",서울특별시 마포구 와우산로21길 21-16 2층,37.5517143,126.9222234,4204,,,38,음식이 맛있어요:2823;특별한 메뉴가 있어요:1632;재료가 신선해요:1461;친절해요:964;양이 많아요:753;가성비가 좋아요:536;인테리어가 멋져요:518;아늑해요:363;매장이 청결해요:298;컨셉이 독특해요:256;특별한 날 가기 좋아요:174;건강한 맛이에요:172;매장이 넓어요:146;음악이 좋아요:129;사진이 잘 나와요:123;메뉴 구성이 알차요:101;혼밥하기 좋아요:77;화장실이 깨끗해요:64;음식이 빨리 나와요:63;대화하기 좋아요:48;단체모임 하기 좋아요:41;직접 잘 구워줘요:34;향신료가 강하지 않아요:33;혼술하기 좋아요:28;현지 맛에 가까워요:20;술이 다양해요:19;차분한 분위기예요:15;비싼 만큼 가치있어요:15;뷰가 좋아요:15;음료가 맛있어요:14;고기 질이 좋아요:14;주차하기 편해요:12;기본 안주가 좋아요:10;잡내가 적어요:5;반찬이 잘 나와요:5;좌석이 편해요:4;환기가 잘 돼요:3;코스요리가 알차요:1
1967209597,하카타 호르몬,"한식, 육류,고기요리",서울특별시 마포구 독막로5길 26 1층,37.5491347,126.9185676,593,,,37,음식이 맛있어요:869;고기 질이 좋아요:457;친절해요:442;특별한 메뉴가 있어요:274;재료가 신선해요:267;인테리어가 멋져요:206;매장이 청결해요:195;양이 많아요:166;직접 잘 구워줘요:162;혼밥하기 좋아요:102;매장이 넓어요:91;가성비가 좋아요:87;특별한 날 가기 좋아요:82;메뉴 구성이 알차요:60;차분한 분위기예요:58;아늑해요:43;비싼 만큼 가치있어요:27;단체모임 하기 좋아요:25;코스요리가 알차요:19;잡내가 적어요:18;대화하기 좋아요:18;화장실이 깨끗해요:14;컨셉이 독특해요:13;주차하기 편해요:13;현지 맛에 가까워요:8;음식이 빨리 나와요:6;건강한 맛이에요:6;뷰가 좋아요:6;술이 다양해요:5;반찬이 잘 나와요:4;환기가 잘 돼요:4;혼술하기 좋아요:3;사진이 잘 나와요:2;오래 머무르기 좋아요:2;음료가 맛있어요:1;아이와 가기 좋아요:1;집중하기 좋아요:1
1605124064,시오 합정점,"일식, 일식당",서울특별시 마포구 독막로2길 30 1층,37.5472597,126.9143486,1017,,,40,음식이 맛있어요:2326;재료가 신선해요:1026;인테리어가 멋져요:964;양이 많아요:934;특별한 메뉴가 있어요:808;친절해요:716;매장이 넓어요:403;매장이 청결해요:340;메뉴 구성이 알차요:175;가성비가 좋아요:150;혼밥하기 좋아요:135;반찬이 잘 나와요:132;아늑해요:123;대화하기 좋아요:73;특별한 날 가기 좋아요:66;단체모임 하기 좋아요:55;차분한 분위기예요:50;뷰가 좋아요:46;음악이 좋아요:42;건강한 맛이에요:29;화장실이 깨끗해요:26;사진이 잘 나와요:24;고기 질이 좋아요:13;비싼 만큼 가치있어요:12;음료가 맛있어요:11;현지 맛에 가까워요:10;잡내가 적어요:7;컨셉이 독특해요:5;주차하기 편해요:5;코스요리가 알차요:4;음식이 빨리 나와요:4;좌석이 편해요:3;아이와 가기 좋아요:2;집중하기 좋아요:2;커피가 맛있어요:1;디저트가 맛있어요:1;혼술하기 좋아요:1;룸이 잘 되어있어요:1;향신료가 강하지 않아요:1;환기가 잘 돼요:1
1536277313,해옫 합정,"음식점, 양식",서울특별시 마포구 독막로8길 30 1층,37.546616,126.9176238,1547,,,47,음식이 맛있어요:3377;특별한 메뉴가 있어요:2553;인테리어가 멋져요:2315;친절해요:2132;종류가 다양해요:1321;디저트가 맛있어요:1159;매장이 청결해요:1149;대화하기 좋아요:1066;커피가 맛있어요:1022;사진이 잘 나와요:835;재료가 신선해요:816;메뉴 구성이 알차요:802;가성비가 좋아요:704;뷰가 좋아요:613;양이 많아요:593;아늑해요:367;야외공간이 멋져요:301;매장이 넓어요:290;음료가 맛있어요:248;음악이 좋아요:219;단체모임 하기 좋아요:171;차분한 분위기예요:156;특별한 날 가기 좋아요:154;비싼 만큼 가치있어요:127;빵이 맛있어요:126;반려동물과 가기 좋아요:114;건강한 맛이에요:85;혼밥하기 좋아요:78;음식이 빨리 나와요:67;화장실이 깨끗해요:51;좌석이 편해요:30;주차하기 편해요:25;고기 질이 좋아요:22;코스요리가 알차요:20;집중하기 좋아요:16;아이와 가기 좋아요:14;컨셉이 독특해요:9;오래 머무르기 좋아요:9;환기가 잘 돼요:5;술이 다양해요:4;주문제작을 잘해줘요:4;기본 안주가 좋아요:4;룸이 잘 되어있어요:3;차가 맛있어요:3;직접 잘 구워줘요:2;잡내가 적어요:1;파티하기 좋아요:1
1593016664,어반플랜트 합정,브런치카페,독막로6길 35 어반플랜트 합정,37.5464712,126.9170914,8467,31863,7801,46,인테리어가 멋져요:5929;커피가 맛있어요:3637;친절해요:2690;사진이 잘 나와요:2500;음료가 맛있어요:2394;대화하기 좋아요:2353;디저트가 맛있어요:2020;특별한 메뉴가 있어요:1392;음식이 맛있어요:1144;뷰가 좋아요:1092;매장이 넓어요:976;매장이 청결해요:839;건강한 맛이에요:581;집중하기 좋아요:524;아늑해요:521;재료가 신선해요:456;컨셉이 독특해요:447;야외공간이 멋져요:291;가성비가 좋아요:270;메뉴 구성이 알차요:259;음악이 좋아요:256;차분한 분위기예요:249;화장실이 깨끗해요:177;특별한 날 가기 좋아요:158;양이 많아요:117;종류가 다양해요:86;차가 맛있어요:75;단체모임 하기 좋아요:73;오래 머무르기 좋아요:69;비싼 만큼 가치있어요:54;좌석이 편해요:53;빵이 맛있어요:47;음식이 빨리 나와요:39;반려동물과 가기 좋아요:39;혼밥하기 좋아요:15;룸이 잘 되어있어요:12;주차하기 편해요:8;아이와 가기 좋아요:7;술이 다양해요:3;기본 안주가 좋아요:3;주문제작을 잘해줘요:2;선물하기 좋아요:2;읽을만한 책이 많아요:1;코스요리가 알차요:1;혼술하기 좋아요:1;파티하기 좋아요:1
1006983247,피그바,"육류,고기요리",독막로3길 28-7 1층,37.5495161,126.9174996,1706,6672,1533,31,음식이 맛있어요:1520;고기 질이 좋아요:1289;친절해요:702;인테리어가 멋져요:518;직접 잘 구워줘요:444;매장이 청결해요:338;가성비가 좋아요:305;특별한 메뉴가 있어요:280;양이 많아요:210;재료가 신선해요:175;반찬이 잘 나와요:136;잡내가 적어요:128;단체모임 하기 좋아요:126;메뉴 구성이 알차요:94;아늑해요:88;매장이 넓어요:86;컨셉이 독특해요:51;특별한 날 가기 좋아요:33;화장실이 깨끗해요:33;음식이 빨리 나와요:25;차분한 분위기예요:20;뷰가 좋아요:19;건강한 맛이에요:15;혼밥하기 좋아요:11;비싼 만큼 가치있어요:9;환기가 잘 돼요:5;주차하기 편해요:4;좌석이 편해요:2;코스요리가 알차요:2;룸이 잘 되어있어요:2;오래 머무르기 좋아요:2
2060110285,봉마루집 합정점,한식,양화로6길 103 1층,37.5484202,126.9198559,734,2896,706,37,음식이 맛있어요:683;재료가 신선해요:369;매장이 넓어요:333;친절해요:249;가성비가 좋아요:233;매장이 청결해요:185;대화하기 좋아요:132;차분한 분위기예요:106;양이 많아요:87;잡내가 적어요:67;단체모임 하기 좋아요:66;특별한 메뉴가 있어요:48;인테리어가 멋져요:43;메뉴 구성이 알차요:39;비싼 만큼 가치있어요:38;반찬이 잘 나와요:38;음악이 좋아요:31;고기 질이 좋아요:30;음식이 빨리 나와요:21;아늑해요:19;뷰가 좋아요:15;음료가 맛있어요:14;건강한 맛이에요:12;룸이 잘 되어있어요:6;특별한 날 가기 좋아요:6;기본 안주가 좋아요:4;야외공간이 멋져요:3;사진이 잘 나와요:3;오래 머무르기 좋아요:3;화장실이 깨끗해요:3;좌석이 편해요:2;혼밥하기 좋아요:2;환기가 잘 돼요:2;술이 다양해요:1;아이와 가기 좋아요:1;현지 맛에 가까워요:1;향신료가 강하지 않아요:1
1544497437,동백가옥 합정점,요리주점,양화로6길 38 1층 동백가옥 합정점,37.5488525,126.9162338,3398,12619,3263,37,음식이 맛있어요:2911;인테리어가 멋져요:1398;특별한 메뉴가 있어요:1356;술이 다양해요:1164;기본 안주가 좋아요:1025;음악이 좋아요:920;친절해요:735;대화하기 좋아요:678;매장이 청결해요:331;단체모임 하기 좋아요:279;메뉴 구성이 알차요:244;가성비가 좋아요:207;양이 많아요:198;뷰가 좋아요:105;재료가 신선해요:94;컨셉이 독특해요:90;사진이 잘 나와요:86;아늑해요:79;매장이 넓어요:77;야외공간이 멋져요:67;음료가 맛있어요:61;비싼 만큼 가치있어요:61;화장실이 깨끗해요:51;차분한 분위기예요:48;건강한 맛이에요:45;혼술하기 좋아요:44;코스요리가 알차요:40;디저트가 맛있어요:35;라이브공연이 훌륭해요:33;집중하기 좋아요:33;음식이 빨리 나와요:30;커피가 맛있어요:25;혼밥하기 좋아요:22;오래 머무르기 좋아요:21;특별한 날 가기 좋아요:14;좌석이 편해요:6;주차하기 편해요:6
1868930649,김숙성 합정점,"육류,고기요리",양화로8길 38 1층,37.549099,126.9166848,3166,12664,3050,32,음식이 맛있어요:2853;고기 질이 좋아요:2693;친절해요:1107;직접 잘 구워줘요:1027;양이 많아요:751;특별한 메뉴가 있어요:704;인테리어가 멋져요:543;매장이 넓어요:377;재료가 신선해요:330;반찬이 잘 나와요:322;매장이 청결해요:303;메뉴 구성이 알차요:301;가성비가 좋아요:255;단체모임 하기 좋아요:244;잡내가 적어요:157;야외공간이 멋져요:139;뷰가 좋아요:93;아늑해요:86;컨셉이 독특해요:77;건강한 맛이에요:56;혼밥하기 좋아요:55;음식이 빨리 나와요:54;비싼 만큼 가치있어요:40;코스요리가 알차요:29;차분한 분위기예요:26;환기가 잘 돼요:18;화장실이 깨끗해요:11;특별한 날 가기 좋아요:6;좌석이 편해요:2;아이와 가기 좋아요:2;주차하기 편해요:2;오래 머무르기 좋아요:1
2034963357,대목,"육류,고기요리","양화로6길 51 1층, 2층",37.5489368,126.9171895,442,1878,416,34,음식이 맛있어요:400;고기 질이 좋아요:311;인테리어가 멋져요:275;매장이 넓어요:190;친절해요:110;단체모임 하기 좋아요:94;매장이 청결해요:77;재료가 신선해요:70;특별한 메뉴가 있어요:66;양이 많아요:62;직접 잘 구워줘요:49;반찬이 잘 나와요:22;차분한 분위기예요:20;메뉴 구성이 알차요:19;뷰가 좋아요:18;야외공간이 멋져요:16;비싼 만큼 가치있어요:14;가성비가 좋아요:13;아늑해요:11;잡내가 적어요:8;혼밥하기 좋아요:7;좌석이 편해요:4;특별한 날 가기 좋아요:4;룸이 잘 되어있어요:3;화장실이 깨끗해요:3;사진이 잘 나와요:2;오래 머무르기 좋아요:2;환기가 잘 돼요:2;컨셉이 독특해요:1;음식이 빨리 나와요:1;아이와 가기 좋아요:1;음악이 좋아요:1;주차하기 편해요:1;집중하기 좋아요:1
1837437884,토리비 합정점,이자카야,독막로 31-3 1층 101호,37.5485147,126.9170096,3164,12816,3020,34,음식이 맛있어요:2852;기본 안주가 좋아요:2213;가성비가 좋아요:1375;술이 다양해요:963;인테리어가 멋져요:883;친절해요:877;대화하기 좋아요:817;특별한 메뉴가 있어요:753;음악이 좋아요:735;매장이 청결해요:360;메뉴 구성이 알차요:201;혼술하기 좋아요:182;아늑해요:130;단체모임 하기 좋아요:89;음식이 빨리 나와요:80;재료가 신선해요:39;사진이 잘 나와요:38;매장이 넓어요:37;오래 머무르기 좋아요:29;음료가 맛있어요:25;화장실이 깨끗해요:25;차분한 분위기예요:22;컨셉이 독특해요:18;뷰가 좋아요:18;양이 많아요:10;야외공간이 멋져요:10;건강한 맛이에요:10;좌석이 편해요:7;혼밥하기 좋아요:5;주차하기 편해요:5;디저트가 맛있어요:3;비싼 만큼 가치있어요:2;집중하기 좋아요:2;코스요리가 알차요:1
1141833339,디벙크,"카페,디저트",성지1길 30 더보이드빌딩 지하1층,37.547935,126.915129,649,1680,565,29,커피가 맛있어요:306;인테리어가 멋져요:284;디저트가 맛있어요:199;집중하기 좋아요:179;대화하기 좋아요:149;음료가 맛있어요:113;매장이 청결해요:84;친절해요:59;사진이 잘 나와요:48;특별한 메뉴가 있어요:46;좌석이 편해요:45;매장이 넓어요:41;화장실이 깨끗해요:35;음악이 좋아요:17;가성비가 좋아요:17;차분한 분위기예요:12;아늑해요:11;오래 머무르기 좋아요:8;컨셉이 독특해요:4;주차하기 편해요:4;단체모임 하기 좋아요:4;종류가 다양해요:3;뷰가 좋아요:3;양이 많아요:2;비싼 만큼 가치있어요:2;차가 맛있어요:2;빵이 맛있어요:1;메뉴 구성이 알차요:1;파티하기 좋아요:1
2021917813,회사원 활어수산,생선회,독막로9길 5 1층,37.5486896,126.9195165,673,2322,562,36,음식이 맛있어요:562;재료가 신선해요:408;친절해요:242;인테리어가 멋져요:201;양이 많아요:177;특별한 메뉴가 있어요:152;매장이 청결해요:98;가성비가 좋아요:81;메뉴 구성이 알차요:76;매장이 넓어요:63;단체모임 하기 좋아요:36;화장실이 깨끗해요:32;음악이 좋아요:31;대화하기 좋아요:22;야외공간이 멋져요:17;뷰가 좋아요:16;반찬이 잘 나와요:15;기본 안주가 좋아요:12;잡내가 적어요:11;컨셉이 독특해요:9;사진이 잘 나와요:9;코스요리가 알차요:8;아늑해요:8;고기 질이 좋아요:7;비싼 만큼 가치있어요:7;차분한 분위기예요:4;좌석이 편해요:4;음식이 빨리 나와요:4;특별한 날 가기 좋아요:3;술이 다양해요:1;커피가 맛있어요:1;혼밥하기 좋아요:1;현지 맛에 가까워요:1;오래 머무르기 좋아요:1;건강한 맛이에요:1;환기가 잘 돼요:1
20713591,홍대간장게장 홍일품,게요리,독막로 47-1 홍대간장게장 홍일품,37.54808,126.9187172,3798,12749,3340,37,음식이 맛있어요:3107;재료가 신선해요:1901;양이 많아요:1804;가성비가 좋아요:1781;친절해요:1284;메뉴 구성이 알차요:617;매장이 청결해요:520;특별한 메뉴가 있어요:244;대화하기 좋아요:232;매장이 넓어요:228;음식이 빨리 나와요:164;인테리어가 멋져요:164;차분한 분위기예요:122;아늑해요:119;화장실이 깨끗해요:87;단체모임 하기 좋아요:78;특별한 날 가기 좋아요:45;건강한 맛이에요:40;혼밥하기 좋아요:38;반찬이 잘 나와요:37;잡내가 적어요:36;뷰가 좋아요:19;비싼 만큼 가치있어요:17;사진이 잘 나와요:16;음악이 좋아요:12;현지 맛에 가까워요:6;코스요리가 알차요:5;주차하기 편해요:5;기본 안주가 좋아요:5;좌석이 편해요:4;고기 질이 좋아요:4;향신료가 강하지 않아요:2;환기가 잘 돼요:2;술이 다양해요:1;아이와 가기 좋아요:1;오래 머무르기 좋아요:1;집중하기 좋아요:1
1793807845,깃뜰 홍대본점,"육류,고기요리","잔다리로3안길 27 1, 2층",37.5504106,126.9197919,6915,28354,6508,33,음식이 맛있어요:6319;고기 질이 좋아요:5901;인테리어가 멋져요:3153;친절해요:2298;매장이 넓어요:2209;직접 잘 구워줘요:1526;양이 많아요:1193;특별한 메뉴가 있어요:1152;단체모임 하기 좋아요:907;매장이 청결해요:713;반찬이 잘 나와요:540;재료가 신선해요:530;가성비가 좋아요:296;메뉴 구성이 알차요:279;뷰가 좋아요:224;차분한 분위기예요:185;잡내가 적어요:183;아늑해요:131;건강한 맛이에요:129;비싼 만큼 가치있어요:127;혼밥하기 좋아요:95;특별한 날 가기 좋아요:64;컨셉이 독특해요:57;야외공간이 멋져요:35;음식이 빨리 나와요:30;주차하기 편해요:15;좌석이 편해요:12;룸이 잘 되어있어요:12;환기가 잘 돼요:11;코스요리가 알차요:8;아이와 가기 좋아요:8;화장실이 깨끗해요:8;오래 머무르기 좋아요:4
1813916611,호맥 합정점,"맥주,호프",독막로5길 5 대웅빌딩 1층 호맥,37.5484775,126.9179106,5440,18257,4782,39,음식이 맛있어요:4271;기본 안주가 좋아요:2282;술이 다양해요:1926;인테리어가 멋져요:1896;특별한 메뉴가 있어요:1638;친절해요:1417;대화하기 좋아요:1311;음악이 좋아요:1026;가성비가 좋아요:635;매장이 청결해요:400;단체모임 하기 좋아요:374;매장이 넓어요:185;메뉴 구성이 알차요:128;아늑해요:105;오래 머무르기 좋아요:94;컨셉이 독특해요:57;음료가 맛있어요:55;화장실이 깨끗해요:54;뷰가 좋아요:54;음식이 빨리 나와요:53;디저트가 맛있어요:50;좌석이 편해요:48;사진이 잘 나와요:45;혼술하기 좋아요:42;야외공간이 멋져요:23;양이 많아요:16;차분한 분위기예요:12;비싼 만큼 가치있어요:12;주차하기 편해요:11;건강한 맛이에요:10;재료가 신선해요:8;특별한 날 가기 좋아요:6;아이와 가기 좋아요:3;파티하기 좋아요:3;커피가 맛있어요:2;룸이 잘 되어있어요:2;혼밥하기 좋아요:1;반려동물과 가기 좋아요:1;집중하기 좋아요:1
814481697,오레노라멘 본점,일본식라면,독막로8길 16 1층 오레노라멘,37.5472309,126.9178414,5391,10340,3519,36,음식이 맛있어요:3291;친절해요:1224;양이 많아요:1191;특별한 메뉴가 있어요:988;혼밥하기 좋아요:946;재료가 신선해요:721;매장이 청결해요:588;가성비가 좋아요:541;매장이 넓어요:223;인테리어가 멋져요:143;음식이 빨리 나와요:86;특별한 날 가기 좋아요:45;건강한 맛이에요:37;화장실이 깨끗해요:37;뷰가 좋아요:34;잡내가 적어요:33;현지 맛에 가까워요:33;메뉴 구성이 알차요:24;단체모임 하기 좋아요:24;비싼 만큼 가치있어요:23;고기 질이 좋아요:21;차분한 분위기예요:19;아늑해요:19;대화하기 좋아요:18;주차하기 편해요:8;좌석이 편해요:4;컨셉이 독특해요:3;혼술하기 좋아요:3;음악이 좋아요:3;향신료가 강하지 않아요:3;반찬이 잘 나와요:2;음료가 맛있어요:1;아이와 가기 좋아요:1;사진이 잘 나와요:1;기본 안주가 좋아요:1;환기가 잘 돼요:1
36785829,팔로피자,이탈리아음식,양화로6길 9-20 카메오빌딩,37.5498886,126.9156166,1141,1902,618,28,음식이 맛있어요:580;재료가 신선해요:280;특별한 메뉴가 있어요:196;인테리어가 멋져요:174;친절해요:152;양이 많아요:93;매장이 청결해요:64;매장이 넓어요:60;가성비가 좋아요:54;특별한 날 가기 좋아요:53;단체모임 하기 좋아요:37;아늑해요:26;화장실이 깨끗해요:23;혼밥하기 좋아요:21;대화하기 좋아요:17;메뉴 구성이 알차요:16;현지 맛에 가까워요:12;차분한 분위기예요:10;건강한 맛이에요:10;비싼 만큼 가치있어요:5;뷰가 좋아요:5;주차하기 편해요:3;컨셉이 독특해요:2;음식이 빨리 나와요:2;음악이 좋아요:2;사진이 잘 나와요:2;직접 잘 구워줘요:2;음료가 맛있어요:1
